run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
SRR14436618	SAMN19026065	SRX10787719	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/018/SRR14436618/SRR14436618_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/018/SRR14436618/SRR14436618_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/018/SRR14436618	
SRR14436614	SAMN19026066	SRX10787718	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/014/SRR14436614/SRR14436614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/014/SRR14436614/SRR14436614_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/014/SRR14436614	
SRR14436615	SAMN19026065	SRX10787719	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/015/SRR14436615/SRR14436615_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/015/SRR14436615/SRR14436615_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/015/SRR14436615	
SRR14436622	SAMN19026062	SRX10787721	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/022/SRR14436622/SRR14436622_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/022/SRR14436622/SRR14436622_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/022/SRR14436622	
SRR14436616	SAMN19026065	SRX10787719	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/016/SRR14436616/SRR14436616_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/016/SRR14436616/SRR14436616_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/016/SRR14436616	
SRR14436623	SAMN19026061	SRX10787722	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/023/SRR14436623/SRR14436623_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/023/SRR14436623/SRR14436623_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/023/SRR14436623	
SRR14436617	SAMN19026065	SRX10787719	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/017/SRR14436617/SRR14436617_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/017/SRR14436617/SRR14436617_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/017/SRR14436617	
SRR14436620	SAMN19026063	SRX10787720	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/020/SRR14436620/SRR14436620_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/020/SRR14436620/SRR14436620_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/020/SRR14436620	
SRR14436621	SAMN19026062	SRX10787721	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/021/SRR14436621/SRR14436621_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/021/SRR14436621/SRR14436621_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/021/SRR14436621	
SRR14436624	SAMN19026061	SRX10787722	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/024/SRR14436624/SRR14436624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/024/SRR14436624/SRR14436624_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/024/SRR14436624	
SRR14436625	SAMN19026059	SRX10787723	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/025/SRR14436625/SRR14436625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/025/SRR14436625/SRR14436625_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/025/SRR14436625	
SRR14436626	SAMN19026059	SRX10787723	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/026/SRR14436626/SRR14436626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/026/SRR14436626/SRR14436626_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/026/SRR14436626	
SRR14436627	SAMN19026058	SRX10787724	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/027/SRR14436627/SRR14436627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/027/SRR14436627/SRR14436627_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/027/SRR14436627	
SRR14436628	SAMN19026058	SRX10787724	PRJNA727602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/028/SRR14436628/SRR14436628_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/028/SRR14436628/SRR14436628_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR144/028/SRR14436628	
